Question Text,Question Type,Points,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Question Media,Options Media,Resource
"A Boba Tea cafe owner stares at a CSV file with 10,000 rows of drink sales and sighs. What is the fundamental difference between the 'data' in that file and 'analytics'?",single answer,1,Data is the raw facts and numbers; analytics is converting those numbers into actionable business decisions.,Data is only stored in SQL; analytics can only be done in Microsoft Excel.,"Data refers to numbers greater than 1,000; analytics refers to datasets smaller than 100 rows.",Data tells you what to do next; analytics is just saving the files into a zip archive.,,1,text,text,
"A streaming platform notices that 15,000 users cancelled their subscriptions last Friday. The lead analyst runs a deep-dive investigation into server crash logs to answer 'Why did this happen?'. Which tier of analytics is this?",single answer,1,Descriptive Analytics,Diagnostic Analytics,Predictive Analytics,Prescriptive Analytics,,2,text,text,
"In a gaming company launching an open-world RPG, who is primarily responsible for answering: 'Which weapon category generated the highest microtransaction revenue during last weekend's boss raid event?'",single answer,1,Data Engineer (who sets up Kafka streams and database pipelines),Machine Learning Engineer (who trains an NPC reinforcement learning model),Data Analyst (who inspects and interprets historical sales to guide monetization),Network Security Architect (who configures firewall proxies),,3,text,text,
"In an Avengers Superhero registry, you find the column 'threat_clearance_level' with values: ['Low', 'Medium', 'High', 'Avengers-Level-Threat']. How would you classify this column?",single answer,1,Numerical Continuous,"Categorical (Ordinal, since there is a clear meaningful ranking)",DateTime Temporal,Unique Primary Identifier,,2,text,text,
"A food delivery app receives customer feedback: 'The garlic bread was heavenly, but the delivery rider drove like Formula 1 and spilled the dip!' What format of data does this text review represent?",single answer,1,Structured Tabular Data,Semi-Structured JSON Data,Unstructured Text Data,Relational Foreign Key Data,,3,text,text,
What will this Python revenue calculation script output?,single answer,1,3000.0,2400.0,2250.0,4000.0,,2,code,text,"ticket_price = 1000
quantity = 3
flash_sale_discount = 0.20

total_payout = ticket_price * quantity * (1 - flash_sale_discount)
print(total_payout)"
You create a coffee shop menu DataFrame using pandas. What will print(df.shape) output?,single answer,1,"(3, 2)","(2, 3)","(6, 1)",6,,1,code,text,"import pandas as pd

menu = {
    'drink': ['Caramel Macchiato', 'Cold Brew', 'Matcha Latte'],
    'calories': [250, 5, 180]
}
df = pd.DataFrame(menu)
print(df.shape)"
"You just inherited a mysterious dataset from an intern called 'secret_project.csv'. Which Pandas method is the fastest way to check column data types, total non-null counts, and memory usage all at once?",single answer,1,df.describe(),df.info(),df.tail(),df.columns(),,2,text,text,
"When you call df.describe() on a DataFrame with numeric columns, which set of statistics does it calculate by default?",single answer,1,"count, mean, std, min, 25%, 50%, 75%, max","mode, median, variance, skewness, kurtosis","sum, foreign_keys, null_count, primary_key","first_name, last_name, email, phone_number",,1,text,text,
A pet shelter database has missing records in several columns. Which command gives you the exact count of missing (NaN) entries for each column in df?,single answer,1,df.has_nan(),df.isnull().sum(),df.count_empty(),df.isna().describe(),,2,text,text,
